Order ID,Customer Name,Category,Sub Category,City,Order Date,Region,Sales,Discount,Profit,State,Order Day,Order Month,Order Year,month_no,Month,year,Profit Margin,Discount Amount,Sales Per Unit
OD1,Harish,Oil & Masala,Masalas,Vellore,2017-11-08,North,1254,0.12,401.28,Tamil Nadu,8,11,2017,11,November,2017,32.0,150.48,1425.0
OD2,Sudha,Beverages,Health Drinks,Krishnagiri,2017-11-08,South,749,0.18,149.8,Tamil Nadu,8,11,2017,11,November,2017,20.0,134.82,913.41
OD3,Hussain,Food Grains,Atta & Flour,Perambalur,2017-06-12,West,2360,0.21,165.2,Tamil Nadu,12,6,2017,6,June,2017,7.0,495.6,2987.34
OD4,Jackson,Fruits & Veggies,Fresh Vegetables,Dharmapuri,2016-10-11,South,896,0.25,89.6,Tamil Nadu,11,10,2016,10,October,2016,10.0,224.0,1194.67
OD5,Ridhesh,Food Grains,Organic Staples,Ooty,2016-10-11,South,2355,0.26,918.45,Tamil Nadu,11,10,2016,10,October,2016,39.0,612.3,3182.43
OD6,Adavan,Food Grains,Organic Staples,Dharmapuri,2015-06-09,West,2305,0.26,322.7,Tamil Nadu,9,6,2015,6,June,2015,14.0,599.3,3114.86
OD7,Jonas,Fruits & Veggies,Fresh Vegetables,Trichy,2015-06-09,West,826,0.33,346.92,Tamil Nadu,9,6,2015,6,June,2015,42.0,272.58,1232.84
OD8,Hafiz,Fruits & Veggies,Fresh Fruits,Ramanadhapuram,2015-06-09,West,1847,0.32,147.76,Tamil Nadu,9,6,2015,6,June,2015,8.0,591.04,2716.18
OD9,Hafiz,Bakery,Biscuits,Tirunelveli,2015-06-09,West,791,0.23,181.93,Tamil Nadu,9,6,2015,6,June,2015,23.0,181.93,1027.27
OD10,Krithika,Bakery,Cakes,Chennai,2015-06-09,West,1795,0.27,484.65,Tamil Nadu,9,6,2015,6,June,2015,27.0,484.65,2458.9
OD11,Ganesh,Snacks,Chocolates,Karur,2015-06-09,West,1903,0.13,437.69,Tamil Nadu,9,6,2015,6,June,2015,23.0,247.39,2187.36
OD12,Yadav,"Eggs, Meat & Fish",Eggs,Namakkal,2015-06-09,West,701,0.1,308.44,Tamil Nadu,9,6,2015,6,June,2015,44.0,70.1,778.89
OD14,Peer,Fruits & Veggies,Fresh Vegetables,Kanyakumari,2017-12-05,West,1277,0.25,63.85,Tamil Nadu,5,12,2017,12,December,2017,5.0,319.25,1702.67
OD17,Alan,Bakery,Cakes,Dharmapuri,2015-11-11,Central,1678,0.28,318.82,Tamil Nadu,11,11,2015,11,November,2015,19.0,469.84,2330.56
